melhorar,cluster,micro
"Acho que o pessoal ainda ficou com bastante duvidas, talvez focar esse primeiro dia mais sobre as ferramentas e ensinar a utilizar, desta forma não teremos problemas/demoras nos proximos encontros",Day,Estrutura
"Na transparência do alinhamento das expectativas ANTES do fechamento da venda, principalmente em relação as porcentagem de contratação, pois a porcentagem em si não reflete a realidade de todos os alunos considerando que se vende expectativa de emprego + base salarial da área de atuação. De qualquer forma, espero gozar da experiência e me surpreender com o curso e seus resultados em minha vida profissional",Geral,Comunicação
Explicar um pouco melhor antes de começar as tarefas...A galera ficou com muita dúvida!,Day,Consultor day
"Trazer mais cases de impacto no primeiro DAY, isso dá mais credibilidade.",Day,Conteúdo
"Por hora não consigo avaliar este ponto, pois até agora estou contente com o que me foi apresentado.
 Hoje tive a oportunidades de conhecer termos e ferramentas novas.",-,-
Ainda não tenho opinião formada sobre essa questão...rsrsrs,-,-
"Estou gostando muito até agora, só separaria as duvidas em outra sala no zoom fiquei com dificuldades de escrever com todos falando e tirando dúvidas.",Day,Sistemas
Até o momento em nada.,-,-
"Até o momento, só identifiquei o dificuldade de assistir as aulas e acessar o conteúdo de forma off-line.",Geral,Plataforma
Nada a comentar por enquanto. Obrigado pela grande oportunidade!,-,-
Ainda não tenho melhoria.,-,-
Explicação de atividades. Alguns alunos ficaram perdidos em pontos do processo,Day,Consultor day
"A maneira como as tarefas e tudo que é compartilhado. Também poderia ser feito por email, por exemplo, no meu caso, o único notebook que tenho disponível é o da empresa que eu trabalho e muitas coisas são bloqueadas.",Slot,Estrutura
"Por enquanto nada, tudo parece interessante",-,-
"Como sugestão, acredito que fica melhor deixar os microfones dos alunos mutados. hoje tivemos muitas interrupções fora do espaço para perguntas.",Day,Co-host
"A possibilidade de personalizar conteúdo por aquilo que o participante já traz de bagagem. Eu, por exemplo, me interessei pelo curso de imersão já dominando Excel, VBA e Poder BI, então um formato que permisse personalizar a ordem dos slots seria muito bom.",Geral,Plataforma
"Falar através do zoom sobre os programas que usarem, por mais que fale no slack, falar na aula para tirar alguma dúvida.",Day,Sistemas
"Vídeos explicando como baixar os App usados em aula, slack e o kahoot.
 
 Algumas pessoas tiveram dificuldades nas ferramentas, e caso utilizarem outras no decorrer do curso nos enviem vídeos antes das aulas.",Day,Sistemas
Muito cedo pra dizer.,-,-
"Pessoal tirando dúvidas muito triviais, perda de tempo dos outros.",Day,Co-host
Não tenho sugestão nesse momento.,-,-
Acho cedo pra mencionar ainda.,-,
Imaginei que seria mais didático,Day,Consultor day
Ainda não pensei a respeito.,-,
"1) Parar de pedir ""CPF"" a todo momento, e sim o e-mail. Nem meu banco fica me pedindo o CPF toda hora. rsrs
 
 2) Quando vou fazer o login preencho o e-mail e senha e aperto ""Enter"", daí ao invés de fazer o login, os sistema entende o ""Enter"" como alternar entre ""CPF"" e ""e-mail"", dificultando a experiência principalmente quando estamos com pressa.
 
 3) Plataforma de comunicação entre os alunos, tipo um fórum ou algo do tipo. Em que alunos possam conversar com outros alunos também. Não encontrei essa função.
 
 4) Deixar opção de deixar senha e login salvos. Pelo menos comigo estou tentando que preencher tudo a todo momento.",Geral,Plataforma
Muito cedo para fazer recomendações.,-,
Achei o day 2 muito repetitivo e pouco prático,Day,Conteúdo
No momento está ótimo,-,
Faltou o script/guia pro facilitador poder atuar melhor no processo gerando melhor insumos pro case.,Day,Facilitador
Acho que estamos top,-,
.,-,
Nada,-,
Ter os Days gravados disponibilizados dentro da plataforma,Day,Estrutura
"Trazer um pouco mais dos conceitos nos encontros ""Days""",Day,Conteúdo
Marcar as mentorias abertas com atencedência,Geral,Suporte dnc
Por enquanto não tenho o que reclamar.,-,
até agora está tudo bem,-,
"Alinhamento dos conceitos, técnicas e atividades a serem exercidas com todos os consultores e facilitadores.",Day,Sistemas
"Senti o conteúdo do Day 2 muito fraco comparado às minhas expectativas. É um dia inteiro de aulas, porém, tirando as dinâmicas (que foram boas), acho que não agregou muito para quem cumpriu com os estudos do Slot.",Day,Conteúdo
"A ferramenta de acesso não ser pelo zoom e pelo teams visto que causa confusão ter vários locais pra enviar os arquivos e no teams poderia ser um grupo só. Assim, ficaria mais organizado além de não dar tantos problemas de conexão como o zoom.",Day,Sistemas
Nada,-,
"Talvez, reduzir um pouco o tempo das aulas.",Slot,Vídeoaulas
Ainda não sei informar,-,-
.,-,
Ser mais abrangente nas técnicas,Day,Conteúdo
Sem comentários no momento.,-,-
Parte técnica - confusa,Day,Conteúdo
Nada em mente,-,
Alguns falhas técnicas de link e contabilização de presença,Day,Sistemas
Nada no momento,-,
Apenas a apresentação de coisas mais relevantes e Days com mais atividades práticas e menos realinhamentos de coisas que já foram explanadas antes.,Day,Conteúdo
acho que a musica atrapalha um pouco em alguns momentos,Day,Co-host
Ter mais conteúdos visuais,Day,Conteúdo
por enquanro nada,-,
Por enquanto esta ótimo,-,
Não identifiquei nenhum ponto.,-,
por enquanto nada,-,
....,-,
A plataforma em si ainda tem o que melhorar.,Geral,Plataforma
Facilitadores que amam o que estão fazendo é muito importante.,Day,Facilitadores
..,-,
No momento não consigo pontuar nada.,-,
o treinamento com os facilitadores,Day,Facilitadores
Deixar mais a mão os materiais de estudo,Slot,Materiais
Feedbacks mais individualizados na dinâmica,Day,Dinâmica
"Muito rápido as informações, poderia ser mais lento.",Day,Carga horária
NA,-,
Algumas questões ficam confusas ainda no inicio deste curso,Geral,Comunicação
- gostaria de ter um suporte fácil na plataforma caso eu queira tirar alguma dúvida,Geral,Suporte dnc
"Já passaram essa informação na aula, mas acredito que seja importante garantirmos o melhor funcionamento da plataforma. Tenho algumas inconsistências para anexar as atividades, visualizar as informações da dashboard.",Geral,Plataforma
Diminuir os bugs,Geral,Plataforma
.,-,
Plataforma está dando erro.,Geral,Plataforma
Talvez reduzir um pouquinho a duração dos days (8 horas é puxadooo),Day,Carga horária
"Acho que o algumas partes do day presencial, como o alinhamento de expectativa, os tipos de empresa e algumas coisas que ja foram passadas na aula ficaram um pouco repetitivas. Acho que o dia foi mais produtivo nos momentos de dinamica.",Day,Estrutura
A plataforma em si ainda apresenta alguns bugs.,Geral,Plataforma
Por enquanto não vejo pontos de melhoria.,-,-
Acho que a Apostila poderia ter mais detalhes ou indicação de leituras extras.,Slot,Materiais
Cedo pra dizer.,-,-
Ainda não consigo avaliar este ponto.,-,-
.,-,
"Acredito que o tempo foi escasso tendo que conhecer as pessoas no dia, uma imersão do grupo antes teria sido melhor.",Day,Carga horária
Entendi melhor o deliverably após as dinamicas do day 2,-,-
Tempo,Day,Carga horária
Sem recomendações agora.,-,-
Nada a declarar,-,-
São muitos canais de comunicação e muitos links acho que unificar pode melhorar.,Geral,Comunicação
Direcionamentos dos facilitadores podem ser melhores,Day,Facilitadores
As aulas gravadas nos slots poderiam ter mais recursos interativos.,Geral,Plataforma
Por enquanto nada,-,
Tudo certo até o momento.,-,
"Nada demais, só acho que seria legal ter um tempo estimado pra atividades dos slots. Exemplo, na atividade tem 0/7 pra ir completando, podiam colocar dentro dessas atividades ""tempo estimado 5 minutos nessa atividade"". Isso porque ajudaria a gente a ir programando nossos dias de estudos.",Geral,Plataforma
"Não é bem uma melhoria, mas eu gostaria de ver mais áreas estratégicas como exemplos de carreira e prática de projeto, como sustentabilidade, projetos sociais ou ESG.",Slot,Conteúdo
"Maior segurança do consultor, ele hoje cometeu alguns equívocos na explicação dos conteúdos.",Day,Consultor day
O Dey estava bem bacana.,-,
"Nadinha, bbs",-,
Nada até o momento,-,
Nada até o momento.,-,
Comunicações ainda tem alguns gaps,Geral,Comunicação
10,-,
Deixar a plataforma mais fluida e dinâmica...,Geral,Plataforma
Ok,-,
.,-,
Mais feedbeck individuais,Geral,Suporte dnc
"A plataforma e a postila.  A postila está com figuras muito fusco, a resulução nao é boa.",Geral,Plataforma
"A plataforma e a postila.  A postila está com figuras muito fusco, a resulução nao é boa.",Slot,Materiais
"Dúvidas, orientações e plataforma.",Geral,Plataforma
"Dúvidas, orientações e plataforma.",Geral,Suporte dnc
"Dúvidas, orientações e plataforma.",Geral,Comunicação
Melhorar a comunicação e a plataforma.,Geral,Comunicação
Melhorar a comunicação e a plataforma.,Geral,Plataforma
"Como explicado no feedback do pultimo slot, existem alguns PDF's com baixa resolução e algumas vídeo-aulas gravadas que estão travando.",Slot,Materiais
.,-,
pesquisa de satisfação não ser vinculado a presença,Day,Sistema
Desconsiderar,-,-
.,-,
Feedbacks e clareza na liberação das entregas das sprints,Geral,Comunicação
"Somente na qualidade da apostila, seria legal ser mais detalhada.",Slot,Materiais
..,-,
Explicação das atividades.,Day,Consultor day
No momento tudo ok.,-,
"ESCLARECIMENTO DOS DAYS , PARA GANHO DE VELOCIDADE DOS ALUNOS NAS ATIVIDADES.",Day,Consultor day
Interface do site ainda é um pouco confusa. O fato de terem de explicar detalhes a respeito do dash e outras fncionalidades é sinal de que a usabilidade ainda não tá boa,Geral,Plataforma
"Os encontros tem pouco tempo para desenvolver as atividade. Poder ser um pouco mais devagar, não estou conseguindo assimilar os conteúdos.",Day,Carga horária
"Nos vídeos das aulas, ter mais ilustrações como aconteceram algumas vezes.",Slot,Vídeoaulas
As atualizações de feedbacks e notas das atividades entregues.,Geral,Suporte dnc
Mais organização das ideias propostas,Day,Consultor day
"Senti que em alguns pontos as coisas estão desorganizadas, o tempo de correção do slot foi muito depois do que tinha sido comunicado. Os quiz que tem no final da slot eu achei um pouco confusos e com duplo sentido.",Geral,Suporte dnc
"Senti que em alguns pontos as coisas estão desorganizadas, o tempo de correção do slot foi muito depois do que tinha sido comunicado. Os quiz que tem no final da slot eu achei um pouco confusos e com duplo sentido.",Slot,Exercício
respondi na pesquisa anterior estou refazendo para conseguir a aula,-,-
.,-,-
"Qualidade do conteúdo é ruim. Vídeos sem mostrar imagens, vídeos repetidos, somente áudios de vídeos, reaproveitamento de vídeos antigos falha, entre outros",Slot,Videoaulas
N/A,-,
Didática e organização do conteúdo de forma que facilite o processo de aprendizagem.,Slot,Conteúdos
Dispensa comentários.,-,
nada a declarar,-,
Está bom até o momento.,-,
Não consigo acompanhar o calendário de atividades.,Geral,Comunicação
ok,-,
Suporte ao grupos. Mentorias por grupo!,Projeto,Suporte projeto
"Algumas informações, como o sipoc, não ficaram bem explicadas nas aulas gravadas, surgiram critérios novos durante o day",Slot,Vídeoaulas
sem sugestões,-,
As entregas devem ser mais esclarecidas e o mentor deve estar mais presente no projeto,Projeto,Suporte projeto
As entregas devem ser mais esclarecidas e o mentor deve estar mais presente no projeto,Projeto,Deliverable
Reestruturar a dinâmica para caber dentro do tempo previsto.,Day,Carga horária
Mais acompanhamento do projeto,Projeto,Suporte projeto
"A plataforma, não encontrei um botão de voltar!",Geral,Plataforma
As explicação nas video aulas,Slot,Videoaulas
Os days deveriam abordar os temas de maneira antecedente as entregas e não posterior a elas.,Day,Conteúdo
ainda nada,-,
Por enquanto o curso é o que eu esperava!,-,
conteúdo não está condizente com o solicitado no deliverable.,Projeto,Deliverable
"Carga horária de curso e projeto muito alta.  Entendo o diferencial da dinâmica, mas acho que cada aluno tem suas peculiaridades, e na minha opinião esse curso é destinado a pessoas com uma carga horária de trabalho e de vida muito específicos.",Geral,Carga horária
"A qualidade do material disponibilizado nos anexos do curso. As vezes não estão bem nítidos, planilhas que muitas vezes não abrem, material que não são bem legíveis principalmente os que foram printados e colados no word.",Slot,Materiais
"Alguns arquivos e aulas nos induzem ao erro, contendo algumas informações diferentes do que é pedido durante os Assignments e os Deliverable. O que ajuda muito são as mentorias, porém acredito que os arquivos e as aulas poderiam deixar mais claro a explicação sobre as ferramentas que usamos.",Slot,Materiais
Estou bem contente com o curso.,-,
.,-,
"As dinâmicas que explicam melhor os conceitos poderiam ser realizadas antes da data final de entrega do deliverable. O conteúdo referente ao SIPOC está bem confuso, principalmente em relação a aos inputs e processo. A aula do day tornou muito mais claro o conceito, a maioria dos alunos estava com dificuldades na definição ou estava cometendo equivocos.",Day,Estrutura
"As dinâmicas que explicam melhor os conceitos poderiam ser realizadas antes da data final de entrega do deliverable. O conteúdo referente ao SIPOC está bem confuso, principalmente em relação a aos inputs e processo. A aula do day tornou muito mais claro o conceito, a maioria dos alunos estava com dificuldades na definição ou estava cometendo equivocos.",Slot,Videoaulas
"Possibilitar que tenhamos acesso a mais exemplos de situações, não necessariamente que essas sejam entregáveis mas que nos ajudem a pensar sobre a situação além do exemplo fornecido nas aulas e do projeto que atuamos",Slot,Videoaulas
Por hora nada,-,
"O day esta envertido os conteúdos.  Hj falamos de coisas que fizemos, aí tiramos as dúvidas mas já entregamos os exercícioas errados. Ex: sipoc ficou errado da maioria.",Day,Estrutura
A linguagem dos quiz e provas. As questões por vezes são bem truncadas e com uma ampla margem de interpretação o que considero que mais complica do que facilita e não agrega ao conhecimento gerando desmotivação,Slot,Exercícios
A linguagem dos quiz e provas. As questões por vezes são bem truncadas e com uma ampla margem de interpretação o que considero que mais complica do que facilita e não agrega ao conhecimento gerando desmotivação,Slot,Provas
As aulas gravadas,Slot,Videoaulas
por enquanto está excelente,-,
"Os conteúdos dos vídeos deveria está mais atualizados, para facilitar o entendimento do conteúdo.",Slot,Videoaulas
"Ter mais clareza nas aulas em relação ao SIPOC;
 Melhorar o alinhamento entre o pessoal da dnc: meu grupo perguntou se podia responder o V.o.C em forma de texto e responderam dando um Ok. Na correção do deliverable pediram para colocar o conteúdo em tópico.",Slot,Vídeoaulas
"Ter mais clareza nas aulas em relação ao SIPOC;
 Melhorar o alinhamento entre o pessoal da dnc: meu grupo perguntou se podia responder o V.o.C em forma de texto e responderam dando um Ok. Na correção do deliverable pediram para colocar o conteúdo em tópico.",Geral,Comunicação
"O conteúdo não conversa com os days e apostilas. Correção das atividades muito subjetiva, plataforma online com muitos bugs.
 Pelo investimento realizado a entrega deveria ser melhor.",Slot,Videoaulas
"O conteúdo não conversa com os days e apostilas. Correção das atividades muito subjetiva, plataforma online com muitos bugs.
 Pelo investimento realizado a entrega deveria ser melhor.",Slot,Exercícios
"O conteúdo não conversa com os days e apostilas. Correção das atividades muito subjetiva, plataforma online com muitos bugs.
 Pelo investimento realizado a entrega deveria ser melhor.",Geral,Plataforma
"Melhorar o tempo e o esclarecimento dos days, bastante superficial",Day,Carga horária
"Melhorar o tempo e o esclarecimento dos days, bastante superficial",Day,Conteúdo
Site,Geral,Plataforma
Alinhamento de informações entre facilitadores e material da dinâmica mais claro,Day,Facilitadores
Alinhamento de informações entre facilitadores e material da dinâmica mais claro,Day,Dinâmica
....,-,
NA,-,
"Aos anexos dos arquivos, serem coisas ais em estruturadas para podermos ter bases",Slot,Materiais
não tenho observações no momento.,-,
Não sei,-,
"Alinhar os conteúdos das aulas gravadas com o day. O conteúdo de SIPOC do slot 3 foi totalmente diferente do apresentado no day 3, sendo que meu grupo acabou errando pela falha do conteúdo no slot 3. 
 Outro ponto que seria interessando, a metodologia de aprender primeiro no slot e produzir conteúdo pra depois aprender no day é pouco produtivo.",Slot,Videoaulas
"Alinhar os conteúdos das aulas gravadas com o day. O conteúdo de SIPOC do slot 3 foi totalmente diferente do apresentado no day 3, sendo que meu grupo acabou errando pela falha do conteúdo no slot 3. 
 Outro ponto que seria interessando, a metodologia de aprender primeiro no slot e produzir conteúdo pra depois aprender no day é pouco produtivo.",Slot,Estrutura
.,-,
Em relação a monitoração dos projetos com os grupos,Projeto,Suporte projeto
As aulas não são condizentes com o conteúdo dado no day.Debruçamos sobre as entregas com uma informação erronea e depois temos que corrigir com o conteudo correto. Alta taxa de retrabalho (tema de projeto),Slot,Vídeoaulas
As aulas não são condizentes com o conteúdo dado no day.Debruçamos sobre as entregas com uma informação erronea e depois temos que corrigir com o conteudo correto. Alta taxa de retrabalho (tema de projeto),Slot,Conteúdo
A plataforma.,Geral,Plataforma
"A estrutura do curso. Em minha opinião o DAY deve vir ANTES do Slot, pois sentimos que ABRE nossa mente para muita coisa e nos dá insigts.",Slot,Estruttura
"Deixar mais completas as explicações das ferramentas. No exemplo do SIPOC, a clareza de como exatamente devem ser os inputs só veio com a explicação do Breno durante o Day.",Slot,Vídeoaulas
"organização das aulas com os assuntos dos days, sempre há conflito de informaçoes",Slot,Vídeoaulas
"quem não pode assistir os day, conseguir ver depois",Day,Conteúdo
Seria interessante termos o DAY antes de termos as entregas de Deliverable. Muitas coisas foram esclarecidas no DAY de hoje (ex: SIPOC - inputs) que ajudariam na confecção das atividades.,Day,Estrutura
"A clareza das tarefas, a divulgação dos resultados e ter o mentor o para nos auxiliar.",Slot,Assignment
"A clareza das tarefas, a divulgação dos resultados e ter o mentor o para nos auxiliar.",Projeto,Suporte projeto
"Acho que as Days deveriam ocorrer antes dos slots, pois sinto muita dificuldade em assimilar os conteúdos. Muitas vezes só consigo entender o tema na revisão das days, mas antes disso já tive que realizar entregas importantes.",Day,Estrutura
Day de 8h extremamente cansativo.,Day,Carga horária
De feedback algumas aulas como a de sipoc em que o input e muito simplificado e te induz ao erro no deliverable,Slot,Vídeoaulas
não tenho sugestões,-,
Tempo,Geral,Carga horária
Algum dia presencial seria bom.,Day,Estrutura
"As aulas não foram bem produzidas, visto que muitas vezes o orador do vídeo faz menção à elementos que não são retratados no vídeo. Mais de uma vez fomos induzidos ao erro. Falta o trabalho de um designer instrucional para melhoramento.",Slot,Vídeoaulas
Os exemplos das aulas poderiam ser mais reais,Slot,Vídeoaulas
"Acho que seria possível melhorar as mentorias aos grupos, tendo mais contatos exclusivo com os grupos para orientação e dúvidas.
 Também acho que seria muito bacana um app ou outra solução que permitisse acesso aos conteudos de forma offline. Como viajo muito a trabalho, gosto de aproveitar o deslocamento (aeroporto, voo, etc) para estudar e consumir conteudo.
 Acho que poderiam no futuro pensar em um podcast sobre os conteudos abordados no curso tbm.",Geral,Plataforma
"Acho que seria possível melhorar as mentorias aos grupos, tendo mais contatos exclusivo com os grupos para orientação e dúvidas.
 Também acho que seria muito bacana um app ou outra solução que permitisse acesso aos conteudos de forma offline. Como viajo muito a trabalho, gosto de aproveitar o deslocamento (aeroporto, voo, etc) para estudar e consumir conteudo.
 Acho que poderiam no futuro pensar em um podcast sobre os conteudos abordados no curso tbm.",Projeto,Suporte projeto
"As qualidades dos arquivos anexos das aulas, alguns são ilegíveis",Slot,Materiais
Organizacao da plataforma online,Geral,Plataforma
"Durante toda a etapa de definir e pré-definir, a recomendação é não pensar em causa ou solução, só no problema. Ao mesmo tempo, não faz sentido fazer a TAP sem pensar na causa raiz.",Projeto,Deliverable
"Direcionamento do conteúdo entre os slots e o que é apresentado nos days. Há uma falta de sincronismo entre as pessoas que ministram. Está tudo muito desorganizado em relação a comunicação, direcionamento dos mentores e conteúdo.",Slot,Vídeoaulas
"Direcionamento do conteúdo entre os slots e o que é apresentado nos days. Há uma falta de sincronismo entre as pessoas que ministram. Está tudo muito desorganizado em relação a comunicação, direcionamento dos mentores e conteúdo.",Geral,Comunicação
.,-,
"As abordagens muito ""informais"" de alguns instrutores como por exemplo: ""Um pouco de salada e um pouco de 'drogas' !"" Particularmente entendo como apologia e etc.",Geral,Comunicação
"Coerência entre as informações das aulas, apostilas e Days. Muitas coisas aparecem mais especificas somente no Day quando já fizemos as entregas dos Deliverables",Slot,Materiais
"Coerência entre as informações das aulas, apostilas e Days. Muitas coisas aparecem mais especificas somente no Day quando já fizemos as entregas dos Deliverables",Slot,Vídeoaulas
Hoje o dia foi muito intenso e muito cansativo. Talvez rever a carga horária ou a ordem das atividades.,Day,Carga horária
"Acredito que os deliverables deveriam ser mais conectados com o conteúdo que estamos no momento, às vezes sinto um gap entre o que eu aprendi x a prática",Projeto,Deliverable
o softcheck no dash não segue o mesmo padrão do formulario que preenchemos... Além do cabeçalho apresentar pontos que não constam neste padrão.,Geral,Plataforma
Dar mais oportunidade a outros grupos que tiveram sucesso em seus projetos apresentarem para os alunos em formação!,Day,Conteúdo
.,-,
Acho que seria interessante avaliar o feedback das dinâmicas e propor algumas melhorias para os próximos grupos.,Day,Estrutura
Olhar mais no detalhe para os nossos projetos,Projeto,Suporte projeto
"a plataforma, ainda dá pequenos bugs",Geral,Plataforma
"As aulas de excel deve ser melhoradas, sobre tudo a explicação e os exercicios.",Slot,Vídeoaulas
Nada,-,
não tem nada por enquanto,-,
.,-,
"A qualidade dos arquivos anexados nas vídeos aulas. Além disso, alguns vídeos são tem som alto e outros baixos isso meio que atrapalha um pouco.",Slot,Materiais
"A qualidade dos arquivos anexados nas vídeos aulas. Além disso, alguns vídeos são tem som alto e outros baixos isso meio que atrapalha um pouco.",Slot,Vídeoaulas
"Exemplos um pouco repetitivos demais, e as vezes confusos",Slot,Vídeoaulas
Atualização de alguns vídeos,Slot,Vídeoaulas
.,-,
MT bom,-,
"Os exemplos poderia ser mais abrangentes, bater em 3, 4 formatos de se aplicar os métodos e com isso nos termos um entendimento melhor no nosso projeto pratico.",Slot,Vídeoaulas
Melhorar a explicação para os assigments.,Slot,Assignments
Os materiais das aulas dos slots,Slot,Materiais
"O slack demora muito, para responder.",Geral,Suporte dnc
"as provas, questionários e assignments tem por vezes uma margem muito grande de interpretação. Sugiro que sejam mais claros e objetivos",Slot,Provas
.,-,
N/a,-,
.,-,
"as provas, questionários e assignments tem por vezes uma margem muito grande de interpretação. Sugiro que sejam mais claros e objetivos",Slot,Exercícios
"as provas, questionários e assignments tem por vezes uma margem muito grande de interpretação. Sugiro que sejam mais claros e objetivos",Slot,Exercícios
"Plataforma não atualiza os dados, conteúdo não bate com os days.",Geral,Plataforma
.,-,
Atender no suporte,Geral,Suporte dnc
Reunião com o grupo de projetos. 1 x ao mês. Eu acho errado só com o PO.,Projeto,Suporte projeto
"Neste módulo passado tivemos o modelo de Excel intermediário. E em cada aula havia um arquivo em Excel e muitos deles com exercícios, mas não se tem um vídeo ou uma parte onde estaria a correção deste exercício passado, pfv implementei isso e passem para que toda turma possa ter o máximo entendimento de cada ferramenta",Slot,Exercícios
Não tenho observações no momento.,-,
"Ter uma opção de grade diferenciada para quem trabalha. Com mais meses e uma carga horária menor por dia (considerando o que dividimos no total de todas as ações).  Deixar mais claro nos assignments o que é pra ser feito. No último (8) fiquei confusa, pensei que era pra entregar a planilha, quando vi era pra responder questões. Pode ter no nome do Assignment (TESTE ONLINE / ENTREGA DE MATERIAL). E também no arquivo, porque falava de um enunciado qu eeu nem sabia o que era. Fazer algo do tipo...  ""Nesse assignment você vai ter uma planilha de apoio para resolver a prova. Abra a prova e no enunciado de cada questão terá os valores para você simular. As instruções para montar a planilha estão abaixo, são algumas dicas. No vídeo tem mais informações""  Em nenhum lugar explicava isso, nem no pdf, nem no vídeo, nem no portal. E me atrapalhou bastante.",Geral,Carga horária
"Ter uma opção de grade diferenciada para quem trabalha. Com mais meses e uma carga horária menor por dia (considerando o que dividimos no total de todas as ações).  Deixar mais claro nos assignments o que é pra ser feito. No último (8) fiquei confusa, pensei que era pra entregar a planilha, quando vi era pra responder questões. Pode ter no nome do Assignment (TESTE ONLINE / ENTREGA DE MATERIAL). E também no arquivo, porque falava de um enunciado qu eeu nem sabia o que era. Fazer algo do tipo...  ""Nesse assignment você vai ter uma planilha de apoio para resolver a prova. Abra a prova e no enunciado de cada questão terá os valores para você simular. As instruções para montar a planilha estão abaixo, são algumas dicas. No vídeo tem mais informações""  Em nenhum lugar explicava isso, nem no pdf, nem no vídeo, nem no portal. E me atrapalhou bastante.",Slot,Assignments
"Ter uma opção de grade diferenciada para quem trabalha. Com mais meses e uma carga horária menor por dia (considerando o que dividimos no total de todas as ações).  Deixar mais claro nos assignments o que é pra ser feito. No último (8) fiquei confusa, pensei que era pra entregar a planilha, quando vi era pra responder questões. Pode ter no nome do Assignment (TESTE ONLINE / ENTREGA DE MATERIAL). E também no arquivo, porque falava de um enunciado qu eeu nem sabia o que era. Fazer algo do tipo...  ""Nesse assignment você vai ter uma planilha de apoio para resolver a prova. Abra a prova e no enunciado de cada questão terá os valores para você simular. As instruções para montar a planilha estão abaixo, são algumas dicas. No vídeo tem mais informações""  Em nenhum lugar explicava isso, nem no pdf, nem no vídeo, nem no portal. E me atrapalhou bastante.",Slot,Assignments
Plataforma,Geral,Plataforma
Padronizar as informações entre os facilitadores e mentores,Geral,Comunicação
.,-,
a interação ficou muito limitada ao grupo do projeto real. Muito pouco tempo para trocar ideia com os grupos da dinâmica,Day,Dinâmica
Mais sobre aplicação do Scrum a projetos,Projeto,Suporte projeto
disponibilizar as aulas gravadas,Day,Conteúdo
"A comunicação! É muito intenso, por isso ela deve ser mais fluída!",Geral,Comunicação
Aulas de excel,Slot,Vídeoaulas
Tempo de dinâmica,Day,Carga horária
"O tempo pra entrega dos Deliverybles. Devido a problemas com a primeira empresa e a até conseguir contato com o sponsor da segunda empresa disponibilizada. Desta forma, nosso cronograma foi apertado. Deixando o grupo com pouco tempo para atender, entender, e trabalhar como se deveria.",Projeto,Deliverable
"O tempo pra entrega dos Deliverybles. Devido a problemas com a primeira empresa e a até conseguir contato com o sponsor da segunda empresa disponibilizada. Desta forma, nosso cronograma foi apertado. Deixando o grupo com pouco tempo para atender, entender, e trabalhar como se deveria.",Projeto,Problemas com a empresa
Gostaria que alguma aula presencial.,Day,Estrutura
Disponibilizar os conteúdos em alguma plataforma offline,Geral,Plataforma
Hoje perfeito.,-,
.,-,
"As escolhas dos grupos, eu sei que é bem relativo o de hoje foi top, estávamos muito bem divididos.",Day,Dinâmica
Revisar algumas questões dos assigments e das certificações. Há alguns erros de enunciados.,Slot,Assignments
Revisar algumas questões dos assigments e das certificações. Há alguns erros de enunciados.,Slot,Provas
mais days,Day,Estrutura
por vezes é demasiado trabalho e muitas pessoas acabam por dispersar,Day,Dinâmica
"nunca fazer uma dinamica em grupo sem dar uma passada pela teoria. 
  A equipe fica totalmente perdida.",Day,Estrutura
"Trazer mais grupos e seus cases, hoje consegui notar que o nosso problema é real e como lidar com ele.",Day,Conteúdo
Formatação das aulas,Slot,Videoaulas
"Variar as estruturas dos days, sinto que está cansativo sempre duas dinâmicas e etc. isso pode ir mudando pra manter os alunos engajados",Day,Estrutura
Aulas,Slot,Videoaulas
.,-,
"Organização, estrutura das aulas, se possível um resumo escrito das aulas junto ao vídeo, e um catalago do conteúdo das aulas de maneira a ser possível pesquisar um tópico específico dentro de cada tema.",Slot,Estrutura
"Organização, estrutura das aulas, se possível um resumo escrito das aulas junto ao vídeo, e um catalago do conteúdo das aulas de maneira a ser possível pesquisar um tópico específico dentro de cada tema.",Slot,Materiais
"Organização, estrutura das aulas, se possível um resumo escrito das aulas junto ao vídeo, e um catalago do conteúdo das aulas de maneira a ser possível pesquisar um tópico específico dentro de cada tema.",Geral,Plataforma
"Aulas dinâmicas, diretas, organizadas
Material que agregue valor
",Day,Estrutura
"Aulas dinâmicas, diretas, organizadas
Material que agregue valor
",Slot,Materiais
...............,-,
Facilitar acesso aos documentos disponibilizados no Day,Day,Conteúdo
...,-,
Eu esperava um conteúdo um pouco mais imersivo nos temas e não tão superficial.,Slot,Exercícios
"Apesar da quantidade de disciplinas apresentadas no curso, ainda considero que poderiam ser um pouco mais profundos nos assuntos abordados. Temos poucos materiais extras ou exercícios para praticarmos e nos auxiliar nos estudos. Ainda considero 5 questões por assignment muito pouco, sendo 10,  o ideal, em minha opinião.",Slot,Exercícios
copiem o formato de hj,-,-
as provas de certificação,Slot,Provas
Slides das aulas.,Slot,Materiais
programação com muita gente na sala é tenso kkk mas não sei como melhorar kkk talvez quebrar em grupos ou algo que fique dinâmico e não precisa ficar voltando,Day,Dinâmica
"Talvez fazer um exercício menor e mais devagar para quem não tem familiaridade ainda com código. Assistir aula é muito diferente de ver na prática e ter um tempinho pra assimilar e reproduzir o código é importante
",Day,Carga horária
